Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3575500,PSON.L,510.863,751.00,733.50,2006-08-24,744.00,742.00
4418300,PSON.L,506.40,755.00,737.00,2006-08-23,737.50,754.50
2903500,PSON.L,514.983,766.88,758.42,2006-08-22,760.50,765.00
1517500,PSON.L,518.03,768.00,761.00,2006-08-21,765.00,761.50
2607500,PSON.L,516.337,771.00,761.00,2006-08-18,762.50,765.00
4285800,PSON.L,519.046,770.00,754.00,2006-08-17,766.50,755.00
4639900,PSON.L,512.274,759.00,749.00,2006-08-16,756.50,756.00
5981500,PSON.L,514.306,765.00,758.00,2006-08-15,759.50,759.00
1484300,PSON.L,516.337,768.00,756.035,2006-08-14,762.50,759.50
2566700,PSON.L,510.581,755.50,746.50,2006-08-11,754.00,749.50
5617600,PSON.L,506.518,749.50,731.00,2006-08-10,748.00,738.50
5501700,PSON.L,503.133,747.00,729.50,2006-08-09,743.00,734.00
3423900,PSON.L,495.345,735.00,726.25,2006-08-08,731.50,733.00
3055800,PSON.L,492.637,732.00,724.00,2006-08-07,727.50,726.50
4839900,PSON.L,495.007,733.005,722.50,2006-08-04,731.00,728.00
000,PSON.L,492.975,740.00,724.565,2006-08-03,728.00,733.00
4149600,PSON.L,496.361,735.00,722.67,2006-08-02,733.00,724.00
4075700,PSON.L,489.928,729.50,721.00,2006-08-01,723.50,722.50
5598200,PSON.L,492.298,738.50,725.00,2006-07-31,727.00,725.00
4935800,PSON.L,487.219,727.00,719.50,2006-07-28,719.50,719.50
4783100,PSON.L,487.558,730.50,711.00,2006-07-27,720.00,711.00
5002100,PSON.L,489.928,724.00,711.00,2006-07-26,723.50,712.50
2888400,PSON.L,481.125,804.082,691.65,2006-07-25,710.50,715.00
1427900,PSON.L,484.511,715.50,702.42,2006-07-24,715.50,704.00
2428000,PSON.L,474.692,709.50,691.65,2006-07-21,701.00,709.00
2401800,PSON.L,480.109,712.00,699.50,2006-07-20,709.00,699.50
7750000,PSON.L,472.999,699.50,688.00,2006-07-19,698.50,689.00
3234300,PSON.L,466.904,692.00,684.00,2006-07-18,689.50,684.00
2697100,PSON.L,466.566,695.00,682.50,2006-07-17,689.00,691.00
1764800,PSON.L,467.92,704.35,690.50,2006-07-14,691.00,697.00
3749100,PSON.L,474.692,716.50,699.50,2006-07-13,701.00,716.50
