,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
25240,ccl,16824,-0.40%,-0.002429135,6110,61,0.0,0.0,0.0,19
25241,ccl,16825,-1.28%,-0.00223297,6110,61,0.0,0.0,0.0,19
25242,ccl,16826,-0.90%,0.011196016,6110,61,0.0,0.0,0.0,19
25243,ccl,16831,0.03%,0.020923153,6110,61,0.0,0.0,0.0,19
25244,ccl,16832,-0.22%,-7.16685e-05,6110,61,0.0,0.0,0.0,19
25245,ccl,16833,-1.36%,0.010718253,6110,61,0.0,0.0,0.0,19
25246,ccl,16834,-0.32%,-0.008992765,6110,61,0.0,0.0,0.0,19
25247,ccl,16835,2.70%,0.000631297,6110,61,0.0,0.0,0.0,19
25248,ccl,16838,-0.31%,0.001118773,6110,61,0.0,0.0,0.0,19
25249,ccl,16839,0.19%,-0.003188104,6110,61,0.0,0.0,0.0,19
25250,ccl,16840,-1.22%,-0.001675563,6110,61,0.0,0.0,0.0,19
25251,ccl,16841,0.83%,0.011648284,6110,61,0.0,0.0,0.0,19
25252,ccl,16842,1.95%,-0.003731121,6110,61,0.0,0.0,0.0,19
25253,ccl,16845,-1.27%,0.004986249,6110,61,0.0,0.0,0.0,19
25254,ccl,16846,0.00%,-0.001780125,6110,61,0.0,0.0,0.0,19
25255,ccl,16847,-0.25%,0.001193982,6110,61,0.0,0.0,0.0,19
25256,ccl,16848,1.33%,0.005660912,6110,61,0.0,0.0,0.0,19
25257,ccl,16849,1.90%,0.002963163,6110,61,0.0,0.0,0.0,19
25258,ccl,16854,0.58%,0.011408137,6110,61,0.0,0.0,0.0,19
25259,ccl,16855,1.25%,-0.001788308,6110,61,0.0,0.0,0.0,19
25260,ccl,16856,-1.23%,0.003122933,6110,61,0.0,0.0,0.0,19
25261,ccl,16859,0.03%,0.003001722,6110,61,0.0,0.0,0.0,19
25262,ccl,16860,1.28%,-0.013826441,6110,61,0.0,0.0,0.0,19
25263,ccl,16861,-1.17%,0.008701265,6110,61,0.0,0.0,0.0,19
25264,ccl,16862,-0.19%,-0.009022236,6110,61,0.0,0.0,0.0,19
25265,ccl,16863,-0.58%,-0.000500383,6110,61,0.0,0.0,0.0,19
25266,ccl,16866,-1.29%,0.005552707,6110,61,0.0,0.0,0.0,19
25267,ccl,16867,0.69%,-0.005619228,6110,61,0.0,0.0,0.0,19
25268,ccl,16868,-2.11%,-0.008059735,6110,61,0.0,0.0,0.0,19
25269,ccl,16869,-0.36%,0.007952871,6110,61,0.0,0.0,0.0,19
25270,ccl,16873,0.96%,0.015593877,6110,61,0.0,0.0,0.0,19
25271,ccl,16874,-0.13%,0.00196626,6110,61,0.0,0.0,0.0,19
25272,ccl,16875,-0.16%,0.00223254,6110,61,0.0,0.0,0.0,19
